date_key,full_date,day_number,day_name,week_number,month_number,month_name,quarter,year,is_weekend
20260101,2026-01-01,1,Thursday,1,1,January,Q1,2026,N
20260102,2026-01-02,2,Friday,1,1,January,Q1,2026,N
20260103,2026-01-03,3,Saturday,1,1,January,Q1,2026,Y
20260104,2026-01-04,4,Sunday,1,1,January,Q1,2026,Y
20260105,2026-01-05,5,Monday,2,1,January,Q1,2026,N
20260106,2026-01-06,6,Tuesday,2,1,January,Q1,2026,N
20260107,2026-01-07,7,Wednesday,2,1,January,Q1,2026,N
20260108,2026-01-08,8,Thursday,2,1,January,Q1,2026,N
20260109,2026-01-09,9,Friday,2,1,January,Q1,2026,N
20260110,2026-01-10,10,Saturday,2,1,January,Q1,2026,Y
20260111,2026-01-11,11,Sunday,2,1,January,Q1,2026,Y
20260112,2026-01-12,12,Monday,3,1,January,Q1,2026,N
20260113,2026-01-13,13,Tuesday,3,1,January,Q1,2026,N
20260114,2026-01-14,14,Wednesday,3,1,January,Q1,2026,N
20260115,2026-01-15,15,Thursday,3,1,January,Q1,2026,N
20260116,2026-01-16,16,Friday,3,1,January,Q1,2026,N
20260117,2026-01-17,17,Saturday,3,1,January,Q1,2026,Y
20260118,2026-01-18,18,Sunday,3,1,January,Q1,2026,Y
20260119,2026-01-19,19,Monday,4,1,January,Q1,2026,N
20260120,2026-01-20,20,Tuesday,4,1,January,Q1,2026,N
20260121,2026-01-21,21,Wednesday,4,1,January,Q1,2026,N
20260122,2026-01-22,22,Thursday,4,1,January,Q1,2026,N
20260123,2026-01-23,23,Friday,4,1,January,Q1,2026,N
20260124,2026-01-24,24,Saturday,4,1,January,Q1,2026,Y
20260125,2026-01-25,25,Sunday,4,1,January,Q1,2026,Y
20260126,2026-01-26,26,Monday,5,1,January,Q1,2026,N
20260127,2026-01-27,27,Tuesday,5,1,January,Q1,2026,N
20260128,2026-01-28,28,Wednesday,5,1,January,Q1,2026,N
20260129,2026-01-29,29,Thursday,5,1,January,Q1,2026,N
20260130,2026-01-30,30,Friday,5,1,January,Q1,2026,N
20260131,2026-01-31,31,Saturday,5,1,January,Q1,2026,Y
20260201,2026-02-01,1,Sunday,5,2,February,Q1,2026,Y
20260202,2026-02-02,2,Monday,6,2,February,Q1,2026,N
20260203,2026-02-03,3,Tuesday,6,2,February,Q1,2026,N
20260204,2026-02-04,4,Wednesday,6,2,February,Q1,2026,N
20260205,2026-02-05,5,Thursday,6,2,February,Q1,2026,N
20260206,2026-02-06,6,Friday,6,2,February,Q1,2026,N
20260207,2026-02-07,7,Saturday,6,2,February,Q1,2026,Y
20260208,2026-02-08,8,Sunday,6,2,February,Q1,2026,Y
20260209,2026-02-09,9,Monday,7,2,February,Q1,2026,N
20260210,2026-02-10,10,Tuesday,7,2,February,Q1,2026,N
20260211,2026-02-11,11,Wednesday,7,2,February,Q1,2026,N
20260212,2026-02-12,12,Thursday,7,2,February,Q1,2026,N
20260213,2026-02-13,13,Friday,7,2,February,Q1,2026,N
20260214,2026-02-14,14,Saturday,7,2,February,Q1,2026,Y
20260215,2026-02-15,15,Sunday,7,2,February,Q1,2026,Y
20260216,2026-02-16,16,Monday,8,2,February,Q1,2026,N
20260217,2026-02-17,17,Tuesday,8,2,February,Q1,2026,N
20260218,2026-02-18,18,Wednesday,8,2,February,Q1,2026,N
20260219,2026-02-19,19,Thursday,8,2,February,Q1,2026,N
20260220,2026-02-20,20,Friday,8,2,February,Q1,2026,N
20260221,2026-02-21,21,Saturday,8,2,February,Q1,2026,Y
20260222,2026-02-22,22,Sunday,8,2,February,Q1,2026,Y
20260223,2026-02-23,23,Monday,9,2,February,Q1,2026,N
20260224,2026-02-24,24,Tuesday,9,2,February,Q1,2026,N
20260225,2026-02-25,25,Wednesday,9,2,February,Q1,2026,N
20260226,2026-02-26,26,Thursday,9,2,February,Q1,2026,N
20260227,2026-02-27,27,Friday,9,2,February,Q1,2026,N
20260228,2026-02-28,28,Saturday,9,2,February,Q1,2026,Y
20260301,2026-03-01,1,Sunday,9,3,March,Q1,2026,Y
20260302,2026-03-02,2,Monday,10,3,March,Q1,2026,N
20260303,2026-03-03,3,Tuesday,10,3,March,Q1,2026,N
20260304,2026-03-04,4,Wednesday,10,3,March,Q1,2026,N
20260305,2026-03-05,5,Thursday,10,3,March,Q1,2026,N
20260306,2026-03-06,6,Friday,10,3,March,Q1,2026,N
20260307,2026-03-07,7,Saturday,10,3,March,Q1,2026,Y
20260308,2026-03-08,8,Sunday,10,3,March,Q1,2026,Y
20260309,2026-03-09,9,Monday,11,3,March,Q1,2026,N
