date_key,account_key,customer_key,branch_key,product_key,opening_balance,debit_amount,credit_amount,closing_balance,transaction_count
20260101,1,1,1,1,85200.5,17700.46,3797.49,71297.53,0
20260106,1,1,1,1,71297.53,24357.37,16600.77,63540.93,2
20260111,1,1,1,1,63540.93,15946.74,22583.77,70177.96,1
20260116,1,1,1,1,70177.96,21817.99,17221.93,65581.9,7
20260121,1,1,1,1,65581.9,11967.86,10221.18,63835.22,0
20260126,1,1,1,1,63835.22,6311.96,25851.69,83374.95,1
20260131,1,1,1,1,83374.95,20552.89,12021.22,74843.28,1
20260205,1,1,1,1,74843.28,14425.53,20593.53,81011.28,2
20260210,1,1,1,1,81011.28,3729.94,16885.19,94166.53,4
20260215,1,1,1,1,94166.53,2129.52,7445.73,99482.74,8
20260220,1,1,1,1,99482.74,19111.09,18189.53,98561.18,3
20260225,1,1,1,1,98561.18,19392.34,11411.34,90580.18,7
20260302,1,1,1,1,90580.18,7433.83,17655.75,100802.1,6
20260307,1,1,1,1,100802.1,7634.51,18630.82,111798.41,1
20260312,1,1,1,1,111798.41,23689.76,6233.64,94342.29,3
20260317,1,1,1,1,94342.29,6616.15,2435.62,90161.76,3
20260322,1,1,1,1,90161.76,4345.34,2251.95,88068.37,0
20260327,1,1,1,1,88068.37,10212.94,20681.13,98536.56,7
20260101,2,2,2,1,245500.0,7281.48,6944.29,245162.81,4
20260106,2,2,2,1,245162.81,17574.69,13620.94,241209.06,3
20260111,2,2,2,1,241209.06,23097.78,23634.84,241746.12,3
20260116,2,2,2,1,241746.12,10628.47,16336.87,247454.52,2
20260121,2,2,2,1,247454.52,22710.29,24798.93,249543.16,1
20260126,2,2,2,1,249543.16,1490.95,23778.86,271831.07,4
20260131,2,2,2,1,271831.07,10978.84,14060.94,274913.17,4
20260205,2,2,2,1,274913.17,17493.34,28280.29,285700.12,8
20260210,2,2,2,1,285700.12,13499.54,13132.77,285333.35,0
20260215,2,2,2,1,285333.35,22235.57,22036.02,285133.8,4
20260220,2,2,2,1,285133.8,646.62,6867.73,291354.91,0
20260225,2,2,2,1,291354.91,24989.31,20168.45,286534.05,4
20260302,2,2,2,1,286534.05,14406.17,22893.27,295021.15,2
20260307,2,2,2,1,295021.15,11762.52,19545.28,302803.91,4
20260312,2,2,2,1,302803.91,4537.23,17559.89,315826.57,7
20260317,2,2,2,1,315826.57,24226.38,14100.31,305700.5,6
20260322,2,2,2,1,305700.5,8332.71,20104.01,317471.8,2
20260327,2,2,2,1,317471.8,8245.09,20810.21,330036.92,4
20260101,3,3,3,2,1560000.75,16564.59,12013.57,1555449.73,8
20260106,3,3,3,2,1555449.73,917.43,2641.79,1557174.09,4
20260111,3,3,3,2,1557174.09,8081.84,29105.54,1578197.79,6
20260116,3,3,3,2,1578197.79,21622.76,24747.82,1581322.85,0
20260121,3,3,3,2,1581322.85,16441.51,16277.81,1581159.15,6
20260126,3,3,3,2,1581159.15,1355.1,15553.18,1595357.23,7
20260131,3,3,3,2,1595357.23,15635.22,22799.72,1602521.73,3
20260205,3,3,3,2,1602521.73,6676.41,3930.4,1599775.72,4
20260210,3,3,3,2,1599775.72,10952.9,20947.5,1609770.32,1
20260215,3,3,3,2,1609770.32,721.74,18900.67,1627949.25,3
20260220,3,3,3,2,1627949.25,17744.57,9322.5,1619527.18,0
20260225,3,3,3,2,1619527.18,13806.29,2796.28,1608517.17,1
20260302,3,3,3,2,1608517.17,11536.2,3523.98,1600504.95,2
20260307,3,3,3,2,1600504.95,12459.39,21498.1,1609543.66,8
20260312,3,3,3,2,1609543.66,17635.29,12464.71,1604373.08,7
20260317,3,3,3,2,1604373.08,24506.12,7311.93,1587178.89,8
20260322,3,3,3,2,1587178.89,3616.05,5718.31,1589281.15,8
20260327,3,3,3,2,1589281.15,18657.31,4095.25,1574719.09,1
20260101,4,4,4,1,32500.25,6906.19,23700.19,49294.25,6
20260106,4,4,4,1,49294.25,8496.88,23631.52,64428.89,4
20260111,4,4,4,1,64428.89,20513.74,8485.17,52400.32,4
20260116,4,4,4,1,52400.32,20936.9,17397.7,48861.12,7
20260121,4,4,4,1,48861.12,21631.51,13396.42,40626.03,7
20260126,4,4,4,1,40626.03,8628.1,16557.52,48555.45,8
20260131,4,4,4,1,48555.45,9430.25,27985.57,67110.77,3
20260205,4,4,4,1,67110.77,24519.37,7164.17,49755.57,6
20260210,4,4,4,1,49755.57,5839.06,23266.33,67182.84,0
20260215,4,4,4,1,67182.84,7954.41,14189.29,73417.72,6
20260220,4,4,4,1,73417.72,9651.97,19910.66,83676.41,2
20260225,4,4,4,1,83676.41,12383.22,1110.59,72403.78,8
20260302,4,4,4,1,72403.78,24133.84,9959.84,58229.78,1
20260307,4,4,4,1,58229.78,21854.76,13209.19,49584.21,8
20260312,4,4,4,1,49584.21,22761.04,460.43,27283.6,2
20260317,4,4,4,1,27283.6,10249.47,19643.44,36677.57,2
20260322,4,4,4,1,36677.57,1870.71,23445.76,58252.62,4
20260327,4,4,4,1,58252.62,8464.03,20781.14,70569.73,1
20260101,5,5,2,3,500000.0,21294.13,25570.24,504276.11,8
20260106,5,5,2,3,504276.11,9500.23,9499.83,504275.71,7
20260111,5,5,2,3,504275.71,21809.58,1076.97,483543.1,1
20260116,5,5,2,3,483543.1,5869.26,20531.99,498205.83,4
20260121,5,5,2,3,498205.83,24935.65,22402.99,495673.17,6
20260126,5,5,2,3,495673.17,24458.44,22811.09,494025.82,1
20260131,5,5,2,3,494025.82,11091.96,20820.03,503753.89,0
20260205,5,5,2,3,503753.89,1149.77,23884.3,526488.42,4
20260210,5,5,2,3,526488.42,8961.58,12920.6,530447.44,3
20260215,5,5,2,3,530447.44,13279.16,16977.84,534146.12,2
20260220,5,5,2,3,534146.12,4249.59,2369.05,532265.58,6
20260225,5,5,2,3,532265.58,15492.76,7224.89,523997.71,2
20260302,5,5,2,3,523997.71,5804.71,19137.14,537330.14,7
20260307,5,5,2,3,537330.14,6383.17,281.92,531228.89,7
20260312,5,5,2,3,531228.89,22530.24,20328.33,529026.98,2
20260317,5,5,2,3,529026.98,1846.55,28357.07,555537.5,4
20260322,5,5,2,3,555537.5,15973.47,12729.27,552293.3,4
20260327,5,5,2,3,552293.3,11420.9,9063.65,549936.05,6
20260101,6,6,1,1,980000.1,21333.39,3199.6,961866.31,6
20260106,6,6,1,1,961866.31,14298.07,17244.36,964812.6,4
20260111,6,6,1,1,964812.6,548.49,24901.13,989165.24,6
20260116,6,6,1,1,989165.24,6862.01,16977.87,999281.1,0
20260121,6,6,1,1,999281.1,22765.42,22355.16,998870.84,4
20260126,6,6,1,1,998870.84,19393.52,6903.55,986380.87,5
20260131,6,6,1,1,986380.87,5475.11,5703.96,986609.72,4
20260205,6,6,1,1,986609.72,16944.11,21627.85,991293.46,2
20260210,6,6,1,1,991293.46,15706.2,27102.11,1002689.37,0
20260215,6,6,1,1,1002689.37,7723.32,13224.7,1008190.75,5
20260220,6,6,1,1,1008190.75,18308.99,2704.0,992585.76,4
20260225,6,6,1,1,992585.76,8167.98,12465.09,996882.87,3
20260302,6,6,1,1,996882.87,3303.99,16182.23,1009761.11,5
20260307,6,6,1,1,1009761.11,13271.31,27404.61,1023894.41,2
20260312,6,6,1,1,1023894.41,6424.25,24740.69,1042210.85,7
20260317,6,6,1,1,1042210.85,24184.6,8854.24,1026880.49,5
20260322,6,6,1,1,1026880.49,20105.81,14049.94,1020824.62,1
20260327,6,6,1,1,1020824.62,3518.93,28995.01,1046300.7,6
20260101,7,7,4,1,4200.0,24181.74,24137.63,4155.89,5
20260106,7,7,4,1,4155.89,2257.57,11837.24,13735.56,4
20260111,7,7,4,1,13735.56,13414.31,13643.58,13964.83,4
20260116,7,7,4,1,13964.83,14614.0,24672.52,24023.35,5
20260121,7,7,4,1,24023.35,2708.65,7014.66,28329.36,0
20260126,7,7,4,1,28329.36,15488.67,28295.07,41135.76,5
20260131,7,7,4,1,41135.76,22881.4,6641.02,24895.38,1
20260205,7,7,4,1,24895.38,15885.1,13928.03,22938.31,4
20260210,7,7,4,1,22938.31,16230.99,3500.28,10207.6,0
20260215,7,7,4,1,10207.6,23656.54,9130.94,-4318.0,7
20260220,7,7,4,1,-4318.0,2903.01,7044.0,-177.01,8
20260225,7,7,4,1,-177.01,3391.6,13609.31,10040.7,8
20260302,7,7,4,1,10040.7,10478.17,22268.07,21830.6,2
20260307,7,7,4,1,21830.6,22135.34,19647.66,19342.92,7
20260312,7,7,4,1,19342.92,15391.31,28171.59,32123.2,4
20260317,7,7,4,1,32123.2,817.91,11115.9,42421.19,7
20260322,7,7,4,1,42421.19,11117.4,7083.38,38387.17,5
20260327,7,7,4,1,38387.17,2483.87,20570.41,56473.71,8
20260101,8,8,3,1,172300.0,22542.41,19344.8,169102.39,0
20260106,8,8,3,1,169102.39,9953.49,5694.26,164843.16,1
20260111,8,8,3,1,164843.16,23725.27,24725.73,165843.62,1
20260116,8,8,3,1,165843.62,16569.22,19251.13,168525.53,0
20260121,8,8,3,1,168525.53,1264.46,10005.27,177266.34,2
20260126,8,8,3,1,177266.34,19674.45,6156.17,163748.06,8
20260131,8,8,3,1,163748.06,5178.93,6478.54,165047.67,3
20260205,8,8,3,1,165047.67,8213.99,4426.63,161260.31,0
20260210,8,8,3,1,161260.31,6931.87,29520.84,183849.28,2
20260215,8,8,3,1,183849.28,13505.39,23955.41,194299.3,1
20260220,8,8,3,1,194299.3,16526.44,773.4,178546.26,0
20260225,8,8,3,1,178546.26,8956.06,23652.95,193243.15,5
20260302,8,8,3,1,193243.15,394.53,7961.03,200809.65,2
20260307,8,8,3,1,200809.65,18542.95,15782.57,198049.27,1
20260312,8,8,3,1,198049.27,11906.15,23340.51,209483.63,8
20260317,8,8,3,1,209483.63,14841.65,13560.16,208202.14,3
20260322,8,8,3,1,208202.14,23635.39,1300.95,185867.7,8
20260327,8,8,3,1,185867.7,7540.76,19300.22,197627.16,0
20260101,9,9,5,2,2300000.5,1520.64,14369.46,2312849.32,6
20260106,9,9,5,2,2312849.32,10656.84,3238.85,2305431.33,7
20260111,9,9,5,2,2305431.33,1837.27,2423.71,2306017.77,2
20260116,9,9,5,2,2306017.77,1642.06,8250.48,2312626.19,8
20260121,9,9,5,2,2312626.19,17803.82,11427.13,2306249.5,8
20260126,9,9,5,2,2306249.5,7372.44,15166.53,2314043.59,6
20260131,9,9,5,2,2314043.59,2479.46,21053.38,2332617.51,8
20260205,9,9,5,2,2332617.51,18021.0,6450.69,2321047.2,7
20260210,9,9,5,2,2321047.2,22202.28,12414.41,2311259.33,7
20260215,9,9,5,2,2311259.33,9968.25,21888.38,2323179.46,5
20260220,9,9,5,2,2323179.46,10669.1,19953.24,2332463.6,5
20260225,9,9,5,2,2332463.6,23839.81,20604.63,2329228.42,7
20260302,9,9,5,2,2329228.42,1678.33,24953.16,2352503.25,1
20260307,9,9,5,2,2352503.25,10796.91,22337.67,2364044.01,5
20260312,9,9,5,2,2364044.01,20294.23,16691.12,2360440.9,8
20260317,9,9,5,2,2360440.9,14042.08,20100.4,2366499.22,6
20260322,9,9,5,2,2366499.22,8839.95,19960.22,2377619.49,6
20260327,9,9,5,2,2377619.49,21702.3,21631.82,2377549.01,4
20260101,10,10,5,1,67500.8,15010.25,10549.39,63039.94,8
20260106,10,10,5,1,63039.94,5318.47,19702.09,77423.56,3
20260111,10,10,5,1,77423.56,21181.87,10503.42,66745.11,8
20260116,10,10,5,1,66745.11,9189.03,22878.17,80434.25,3
20260121,10,10,5,1,80434.25,20180.53,25354.65,85608.37,8
20260126,10,10,5,1,85608.37,656.35,27872.53,112824.55,4
20260131,10,10,5,1,112824.55,723.83,8198.11,120298.83,4
20260205,10,10,5,1,120298.83,23038.44,10530.7,107791.09,2
20260210,10,10,5,1,107791.09,21746.57,16989.63,103034.15,6
20260215,10,10,5,1,103034.15,1739.64,22229.07,123523.58,0
20260220,10,10,5,1,123523.58,2293.94,15914.48,137144.12,6
20260225,10,10,5,1,137144.12,10495.81,10226.88,136875.19,5
20260302,10,10,5,1,136875.19,7790.93,9731.49,138815.75,1
20260307,10,10,5,1,138815.75,22083.55,4667.4,121399.6,0
20260312,10,10,5,1,121399.6,16849.22,8163.09,112713.47,6
20260317,10,10,5,1,112713.47,12141.54,13261.33,113833.26,4
20260322,10,10,5,1,113833.26,5389.22,15370.39,123814.43,5
20260327,10,10,5,1,123814.43,10747.84,8497.39,121563.98,7
20260101,11,3,3,4,-125000.0,13173.35,9252.58,-128920.77,3
20260106,11,3,3,4,-128920.77,9881.58,17979.75,-120822.6,0
20260111,11,3,3,4,-120822.6,5110.58,28359.72,-97573.46,2
20260116,11,3,3,4,-97573.46,19104.02,8683.41,-107994.07,1
20260121,11,3,3,4,-107994.07,193.25,22410.42,-85776.9,2
20260126,11,3,3,4,-85776.9,3229.64,15977.47,-73029.07,3
20260131,11,3,3,4,-73029.07,12506.56,25000.63,-60535.0,5
20260205,11,3,3,4,-60535.0,1801.89,25852.93,-36483.96,0
20260210,11,3,3,4,-36483.96,10905.49,13792.63,-33596.82,1
20260215,11,3,3,4,-33596.82,21552.75,17272.77,-37876.8,6
20260220,11,3,3,4,-37876.8,17737.47,12530.82,-43083.45,1
20260225,11,3,3,4,-43083.45,10125.81,28985.99,-24223.27,2
20260302,11,3,3,4,-24223.27,20033.05,18543.76,-25712.56,5
20260307,11,3,3,4,-25712.56,2203.25,25334.53,-2581.28,3
20260312,11,3,3,4,-2581.28,10891.91,12013.49,-1459.7,1
20260317,11,3,3,4,-1459.7,9894.17,9308.24,-2045.63,5
20260322,11,3,3,4,-2045.63,5539.3,23373.54,15788.61,1
20260327,11,3,3,4,15788.61,12762.08,3420.8,6447.33,8
20260101,12,6,1,5,-3250000.0,4847.59,23286.85,-3231560.74,5
20260106,12,6,1,5,-3231560.74,18184.48,24568.46,-3225176.76,2
20260111,12,6,1,5,-3225176.76,5906.72,4393.33,-3226690.15,3
20260116,12,6,1,5,-3226690.15,4337.48,4586.09,-3226441.54,1
20260121,12,6,1,5,-3226441.54,4428.65,23185.44,-3207684.75,7
20260126,12,6,1,5,-3207684.75,11598.83,16912.06,-3202371.52,7
20260131,12,6,1,5,-3202371.52,17028.34,26461.44,-3192938.42,5
20260205,12,6,1,5,-3192938.42,21606.17,18816.52,-3195728.07,2
20260210,12,6,1,5,-3195728.07,10994.07,14067.63,-3192654.51,4
20260215,12,6,1,5,-3192654.51,19908.24,17742.59,-3194820.16,5
20260220,12,6,1,5,-3194820.16,12683.42,9312.24,-3198191.34,7
20260225,12,6,1,5,-3198191.34,940.18,11062.13,-3188069.39,4
20260302,12,6,1,5,-3188069.39,1918.28,25927.5,-3164060.17,1
20260307,12,6,1,5,-3164060.17,15375.21,15212.03,-3164223.35,7
20260312,12,6,1,5,-3164223.35,14508.24,28626.94,-3150104.65,0
20260317,12,6,1,5,-3150104.65,11243.34,24294.48,-3137053.51,3
20260322,12,6,1,5,-3137053.51,8038.17,14268.87,-3130822.81,2
20260327,12,6,1,5,-3130822.81,23943.06,13515.69,-3141250.18,5
