transaction_id,date_key,account_key,customer_key,branch_key,product_key,channel_key,transaction_type,dr_cr_indicator,transaction_amount,transaction_fee,balance_after_transaction,transaction_status
TXN000025,20260101,9,9,5,2,5,Card Payment,DR,16342.97,0.0,2283657.53,Success
TXN000090,20260103,10,10,5,1,6,Card Payment,DR,19142.98,0.0,10471.82,Failed
TXN000001,20260104,11,3,3,4,1,Bill Payment,DR,12395.61,0.0,-137395.61,Success
TXN000062,20260104,3,3,3,2,4,NEFT Transfer,DR,36880.91,36.88,1573387.85,Success
TXN000067,20260104,9,9,5,2,3,Cash Withdrawal,DR,43876.51,43.88,2070073.44,Success
TXN000094,20260104,10,10,5,1,5,POS Purchase,DR,29676.26,59.35,55311.83,Success
TXN000014,20260105,1,1,1,1,2,UPI Payment,DR,20178.01,0.0,28013.96,Success
TXN000009,20260106,12,6,1,5,1,Salary Credit,CR,147094.91,0.0,-3002769.78,Reversed
TXN000060,20260106,5,5,2,3,3,UPI Payment,DR,10661.81,0.0,420895.42,Success
TXN000036,20260107,8,8,3,1,6,Cash Withdrawal,DR,3218.51,6.44,102845.93,Success
TXN000039,20260107,9,9,5,2,1,Loan EMI,DR,64669.74,0.0,2218987.79,Failed
TXN000044,20260107,6,6,1,1,1,Card Payment,DR,23944.07,47.89,919860.45,Success
TXN000031,20260109,4,4,4,1,2,UPI Payment,DR,1247.51,2.5,6926.14,Success
TXN000032,20260110,4,4,4,1,1,Cash Deposit,CR,11601.3,0.0,18527.44,Success
TXN000097,20260111,7,7,4,1,3,Interest Credit,CR,97.49,0.0,488.33,Success
TXN000006,20260112,6,6,1,1,1,POS Purchase,DR,5016.48,5.02,974978.6,Success
TXN000035,20260113,7,7,4,1,2,Cash Withdrawal,DR,33017.34,33.02,-54686.12,Success
TXN000050,20260113,10,10,5,1,5,Cash Withdrawal,DR,26974.19,53.95,52994.57,Success
TXN000053,20260114,5,5,2,3,6,NEFT Transfer,DR,13370.4,0.0,431557.23,Success
TXN000068,20260114,5,5,2,3,1,Card Payment,DR,21841.28,43.68,432047.04,Success
TXN000081,20260114,12,6,1,5,1,POS Purchase,DR,11098.29,22.2,-3044774.94,Success
TXN000102,20260114,3,3,3,2,3,Card Payment,DR,1478.79,1.48,1502597.48,Success
TXN000106,20260114,7,7,4,1,4,POS Purchase,DR,48047.22,96.09,-77400.82,Success
TXN000058,20260115,9,9,5,2,1,Cash Withdrawal,DR,47263.54,94.53,2141737.3,Success
TXN000118,20260116,4,4,4,1,3,Loan EMI,DR,71905.29,0.0,129750.54,Success
TXN000095,20260118,11,3,3,4,4,Interest Credit,CR,495.24,0.0,-277531.34,Success
TXN000016,20260119,11,3,3,4,4,Bill Payment,DR,7153.59,14.31,-174170.04,Success
TXN000107,20260120,8,8,3,1,6,POS Purchase,DR,8971.62,17.94,196938.6,Failed
TXN000012,20260122,10,10,5,1,6,Loan EMI,DR,57934.99,0.0,9565.81,Success
TXN000077,20260122,9,9,5,2,4,Cash Withdrawal,DR,14332.56,28.67,2055712.21,Success
TXN000045,20260124,9,9,5,2,1,Cash Withdrawal,DR,29832.75,59.67,2189095.37,Success
TXN000111,20260124,8,8,3,1,3,Interest Credit,CR,569.69,0.0,166883.18,Success
TXN000037,20260125,2,2,2,1,2,Salary Credit,CR,112761.43,0.0,231405.1,Success
TXN000080,20260125,11,3,3,4,5,POS Purchase,DR,24819.98,0.0,-278026.58,Success
TXN000099,20260126,1,1,1,1,2,Cash Deposit,CR,31142.52,0.0,180847.3,Success
TXN000103,20260126,7,7,4,1,4,Cash Withdrawal,DR,29686.47,59.37,-29257.51,Success
TXN000029,20260128,10,10,5,1,4,Loan EMI,DR,59581.71,0.0,80022.71,Success
TXN000043,20260128,4,4,4,1,3,Cash Deposit,CR,29043.18,58.09,48741.86,Success
TXN000064,20260129,1,1,1,1,4,Salary Credit,CR,153405.06,0.0,189136.6,Success
TXN000065,20260129,5,5,2,3,2,Cash Deposit,CR,33069.65,33.07,453932.0,Success
TXN000026,20260131,6,6,1,1,3,Cash Deposit,CR,12195.41,24.39,943852.41,Failed
TXN000033,20260131,2,2,2,1,5,Bill Payment,DR,33515.09,0.0,118643.67,Success
TXN000078,20260131,6,6,1,1,1,Bill Payment,DR,11387.11,0.0,856542.59,Success
TXN000051,20260201,6,6,1,1,1,UPI Payment,DR,14392.37,14.39,905453.69,Success
TXN000063,20260201,7,7,4,1,6,Bill Payment,DR,8128.05,16.26,56112.83,Success
TXN000082,20260201,1,1,1,1,5,Cash Withdrawal,DR,22931.8,22.93,149704.78,Success
TXN000020,20260202,8,8,3,1,5,Loan EMI,DR,66229.12,0.0,106070.88,Success
TXN000057,20260203,3,3,3,2,6,NEFT Transfer,DR,37113.3,74.23,1610305.64,Success
TXN000085,20260203,8,8,3,1,4,Salary Credit,CR,156780.12,0.0,205928.16,Success
TXN000087,20260204,5,5,2,3,2,UPI Payment,DR,16121.54,32.24,414749.43,Success
TXN000054,20260206,3,3,3,2,3,Card Payment,DR,10689.36,10.69,1647493.17,Success
TXN000008,20260207,2,2,2,1,5,Card Payment,DR,44295.5,44.3,201160.2,Success
